,0,1
0,"['12.5o', '12.5', 'mountian', '24', 'slrite']","['O', 'O', 'O', 'O', 'O']"
1,"['flamin', 'appletiser', 'drink-medium', 'sangria', 'señorial', 'dp', 'seltz']","['O', 'B-BRA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
2,"['orangina', 'graham', 'marshmallow', 'dto', 'powerade', 'betta']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
3,"['fz', 'variety', 'mtdew']","['O', 'O', 'O']"
4,"['volta', 'fantas', 'orange', 'pure', 'mountain', 'dew', 'kiwi', 'flow', 're']","['O', 'B-BRA', 'B-FLA', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'O', 'O']"
5,"['ered', 'trail', ""peet's"", 'mug', 'root', 'beer', 'berry', 'wild']","['O', 'O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA']"
6,"['ener', 'flow', 'praline', 'spritezero']","['O', 'O', 'B-FLA', 'O']"
7,"['$2.79', 'bfk', 'rhubarb', 'peach', 'mango', 'ital']","['O', 'O', 'B-FLA', 'B-FLA', 'I-FLA', 'O']"
8,"['rico', 'oange', 'ibc', 'root', 'beer', 'tarragon', 'lemon', '2.00.']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
9,"['lift', 'almond', 'roasted', 'cok', ""frida's""]","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
10,"['1l', 'fl', 'sunkist', 'cranberry', 'raisin', 'julmust', 'prickly', 'pear']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'I-FLA']"
11,"['ginger', 'pear', '$sprite', 'marshmellos', 'pocari', 'sweat', 'tarragon', 'lemon', 'li']","['B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
12,"['orang', 'monster', 'energy', 'wire', 'k3', 'apple', 'ondemand']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-FLA', 'O']"
13,"['tdr', 'mello', 'yello', 'frescolita']","['O', 'B-BRA', 'I-BRA', 'B-BRA']"
14,"['orangina', 'bottletopochico', 'rt-pepsi']","['B-BRA', 'O', 'O']"
15,"['float', 'tizer', 'rum', 'butter', '24o', ""duke's"", '20.5oz']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
16,"['pumkin', 'gatorade', 'spiced', 'myst', 'lift', 'cajun', 'aluminium']","['O', 'B-BRA', 'O', 'O', 'B-BRA', 'B-FLA', 'O']"
17,"['misttwist', '12oz3', 'pink', 'lemonade']","['O', 'O', 'B-FLA', 'I-FLA']"
18,"['cokestarlight', 'aquarius', 'apple', 'a+w', '24-pack', 'punch', 'strawberry', 'lemom']","['O', 'B-BRA', 'B-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
